Distrito,Electores,Boletas,CPs
1048,12138,4041,"01010','01011','01012','01013',01014'"
1232,5076,1963,"14302','14304','14305','14307','14308'"
2078,8374,2035,"51365','51367','51368','51369','51370'"
2279,7580,3996,"23430','23431','23432','23433','23434'"
3135,6213,3964,"33000','33010','33012','33021','33023'"
3972,5608,3925,"04700','04701','04702','04703','04704'"
4137,9712,3885,"73206','73207','73208','73209','73210'"
4682,14376,4063,"44300','44301','44302','44303','44304'"
5208,3634,1999,"16105','16106','16107','16108','16109'"
5432,19229,9999,"27450','27451','27452','27453','27454'"
5572,2988,2002,"27455','27456','27457','27458','27459'"
6002,8247,3994,"28207','28208','28209','28210','28211'"
6592,6287,2000,"54880','54881','54882','54883','54884'"
7373,13543,9886,"32340','32341','32342','32343','32344'"
7674,8104,4010,"41100','41101','41102','41103','41104'"
7932,11347,4011,"02301','02302','02303','02304','02305'"
8425,16471,10192,"60100','60101','60104','60106','60110'"
8999,6250,4006,"15820','15821','15822','15823','15824'"
9184,14329,9924,"34760','34761','34762','34763','34764'"
9600,23674,10105,"28592','28593','28594','28595','28596'"
